요일,법규위반,가해운전자차종,가해운전자성별,가해운전자상해정도,피해운전자상해정도,가해운전자연령,피해운전자차종,피해운전자성별,피해운전자연령,노면상태,기상상태,cleanedAdress,X,Y,사고연도,사고월,사고일,사고시각,사고대분류,사고중분류,사고소분류,도로형태_대,도로형태_중,D.법규위반.과속,D.법규위반.교차로운행방법위반,D.법규위반.기타,D.법규위반.보행자보호의무위반,D.법규위반.불법유턴,D.법규위반.신호위반,D.법규위반.안전거리미확보,D.법규위반.중앙선침범,D.법규위반.직진우회전진행방해,D.법규위반.차로위반,D.노면상태.결빙,D.노면상태.기타,D.노면상태.서리결빙,D.노면상태.습기,D.노면상태.적설,D.노면상태.젖음습기,D.기상상태.기타,D.기상상태.눈,D.기상상태.비,D.기상상태.안개,D.기상상태.흐림,D.가해운전자차종.개인형이동수단PM,D.가해운전자차종.건설기계,D.가해운전자차종.기타불명,D.가해운전자차종.농기계,D.가해운전자차종.사륜오토바이ATV,D.가해운전자차종.승합,D.가해운전자차종.원동기,D.가해운전자차종.이륜,D.가해운전자차종.자전거,D.가해운전자차종.특수,D.가해운전자차종.화물,D.가해운전자성별.기타불명,D.가해운전자성별.여,D.피해운전자차종.공란,D.피해운전자차종.개인형이동수단PM,D.피해운전자차종.건설기계,D.피해운전자차종.기타불명,D.피해운전자차종.농기계,D.피해운전자차종.미분류,D.피해운전자차종.보행자,D.피해운전자차종.사륜오토바이ATV,D.피해운전자차종.승합,D.피해운전자차종.원동기,D.피해운전자차종.이륜,D.피해운전자차종.자전거,D.피해운전자차종.특수,D.피해운전자차종.화물,D.피해운전자성별.공란,D.피해운전자성별.기타불명,D.피해운전자성별.미분류,D.피해운전자성별.여,D.사고대분류.차대사람,D.사고대분류.차량단독,D.사고중분류.공작물충돌,D.사고중분류.기타,D.사고중분류.길가장자리구역통행중,D.사고중분류.도로외이탈,D.사고중분류.보도통행중,D.사고중분류.전도전복,D.사고중분류.정면충돌,D.사고중분류.차도통행중,D.사고중분류.측면직각충돌,D.사고중분류.측면충돌,D.사고중분류.횡단중,D.사고중분류.후진중충돌,D.도로형태_대.기타,D.도로형태_대.단일로,D.도로형태_대.미분류,D.도로형태_대.주차장,D.도로형태_중.고가도로위,D.도로형태_중.교량,D.도로형태_중.교차로안,D.도로형태_중.교차로횡단보도내,D.도로형태_중.기타,D.도로형태_중.미분류,D.도로형태_중.주차장,D.도로형태_중.지하차도내,D.도로형태_중.터널,D.도로형태_중.횡단보도부근,D.도로형태_중.횡단보도상,인명피해 심각도,사망자수,중상자수,경상자수,부상신고자수
금요일,안전운전불이행,승용,남,상해없음,경상,66,승용,남,45,건조,맑음,충청남도 천안시 동남구 안서동,127.1834881,36.83753276,2007,1,26,16,차대차,추돌,주정차중,교차로,교차로부근,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
금요일,신호위반,이륜,남,상해없음,중상,65,보행자,남,44,건조,맑음,충청남도 천안시 동남구 삼룡동,127.175151,36.77999845,2007,2,2,6,차대사람,횡단중,없음,단일로,횡단보도상,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0
일요일,교차로운행방법위반,화물,남,상해없음,경상,75,승용,남,23,건조,맑음,충청남도 천안시 동남구 사직동,127.148307,36.80092319,2007,2,11,19,차대차,측면직각충돌,없음,교차로,교차로부근,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
금요일,안전운전불이행,승용,남,상해없음,중상,71,자전거,남,67,건조,맑음,충청남도 천안시 서북구 성환읍,127.1243436,36.93086458,2007,3,9,11,차대차,측면직각충돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
월요일,안전운전불이행,이륜,남,사망, ,74, , , ,건조,맑음,충청남도 천안시 동남구 신방동,127.1280664,36.77929128,2007,2,12,16,차량단독,전도전복,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,0,0,0
화요일,안전운전불이행,원동기,남,상해없음,경상,68,보행자,남,22,습기,비,충청남도 천안시 서북구 직산읍,127.1504255,36.88987324,2007,2,13,20,차대사람,길가장자리구역통행중,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
토요일,직진우회전진행방해,원동기,남,사망,상해없음,73,승용,여,45,습기,흐림,충청남도 천안시 동남구 봉명동,127.1353699,36.81012696,2007,3,24,11,차대차,측면직각충돌,없음,교차로,교차로부근,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0
화요일,안전운전불이행,특수,남,상해없음,상해없음,67,승용,남,43,건조,맑음,충청남도 천안시 동남구 목천읍,127.2176083,36.7887014,2007,4,10,13,차대차,측면직각충돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
월요일,직진우회전진행방해,화물,남,상해없음,경상,70,화물,남,55,습기,비,충청남도 천안시 동남구 병천면,127.3037955,36.79178618,2007,4,16,13,차대차,측면직각충돌,없음,교차로,교차로부근,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0
월요일,신호위반,승용,남,상해없음,중상,68,승용,여,42,건조,맑음,충청남도 천안시 서북구 성거읍,127.1914337,36.87689576,2007,5,14,9,차대차,정면충돌,없음,단일로,기타,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
